region,geoid,healthy_objective,death_rate,death_rate_lower,death_rate_upper,deaths_per_year,trend_simple,trend_5year,lower_trend,upper_trend
"United States",00000,No,"168.5","168.3","168.7","577,303",falling,"-1.5","-1.6","-1.5"
"Union County, Florida",12125,No,"362.8","319.6","410.3","61",stable,"-0.9","-2.3","0.4"
"Wade Hampton Census Area, Alaska",02270,No,"296.3","214.7","395.3","10",stable,"0.5","-1.7","2.8"
"Woodson County, Kansas",20207,No,"293.9","227.0","377.2","16",rising,"2.3","0.8","3.9"
"Powell County, Kentucky",21197,No,"292.5","252.1","337.7","40",stable,"-0.0","-1.0","0.9"
"Madison County, Mississippi",28089,No,"292.5","276.7","309.0","269",falling,"-7.9","-10.6","-5.1"
"Perry County, Kentucky",21193,No,"280.8","255.1","308.4","93",stable,"0.2","-0.6","1.0"
"Nome Census Area, Alaska",02180,No,"277.6","217.2","348.2","17",stable,"0.9","-0.9","2.9"
"Harlan County, Kentucky",21095,No,"277.1","252.6","303.4","98",rising,"0.9","0.1","1.8"
"Lee County, Kentucky",21129,No,"275.9","228.3","330.9","25",stable,"0.5","-0.9","1.9"
"Robertson County, Kentucky",21201,No,"274.0","197.7","373.8","9",stable,"-0.3","-2.3","1.8"
"Mississippi County, Missouri",29133,No,"270.5","236.5","308.3","47",stable,"0.2","-0.8","1.3"
"Martin County, Kentucky",21159,No,"270.4","231.6","314.0","36",stable,"-0.3","-1.5","1.0"
"Lawrence County, Kentucky",21127,No,"269.2","235.7","306.2","49",stable,"0.4","-0.3","1.0"
"Nicholas County, Kentucky",21181,No,"267.6","220.7","322.1","23",stable,"-0.2","-1.3","0.8"
"Coahoma County, Mississippi",28027,No,"266.7","239.0","296.8","70",rising,"0.9","0.2","1.6"
"Clay County, Kentucky",21051,No,"266.2","235.8","299.5","59",stable,"0.9","-0.1","1.9"
"McCreary County, Kentucky",21147,No,"265.8","233.0","301.9","51",rising,"12.8","4.1","22.3"
"Owsley County, Kentucky",21189,No,"263.1","207.8","329.9","16",stable,"0.3","-1.1","1.8"
"Leslie County, Kentucky",21131,No,"262.7","224.8","305.4","36",stable,"0.4","-0.6","1.5"
